COUNTY,DATE,PRCP
Polk,2020-10-01,0
Polk,2020-10-02,0
Polk,2020-10-03,0.26
Polk,2020-10-04,0.01
Polk,2020-10-05,0
Polk,2020-10-06,0
Polk,2020-10-07,0
Polk,2020-10-08,0
Polk,2020-10-09,0
Polk,2020-10-10,0
Polk,2020-10-11,0
Polk,2020-10-12,0
Polk,2020-10-13,0
Polk,2020-10-14,0
Polk,2020-10-15,0
Polk,2020-10-16,0
Polk,2020-10-17,0
Polk,2020-10-18,0.16
Polk,2020-10-19,0.12
Polk,2020-10-20,0.03
Polk,2020-10-21,1.03
Polk,2020-10-22,2.08
Polk,2020-10-23,0.24
Polk,2020-10-24,0
Polk,2020-10-25,0.05
Polk,2020-10-26,0.03
Polk,2020-10-27,0
Polk,2020-10-28,0
Polk,2020-10-29,0
Polk,2020-10-30,0
Story,2020-10-01,0
Story,2020-10-02,0
Story,2020-10-03,0
Story,2020-10-04,0
Story,2020-10-05,0
Story,2020-10-06,0
Story,2020-10-07,0
Story,2020-10-08,0
Story,2020-10-09,0
Story,2020-10-10,0
Story,2020-10-11,0
Story,2020-10-12,0
Story,2020-10-13,0
Story,2020-10-14,0
Story,2020-10-15,0
Story,2020-10-16,0
Story,2020-10-17,0
Story,2020-10-18,0.08
Story,2020-10-19,0.07
Story,2020-10-20,0
Story,2020-10-21,0.06
Story,2020-10-22,0.99
Story,2020-10-23,0
Story,2020-10-24,0
Story,2020-10-25,0
Story,2020-10-26,0
Story,2020-10-27,0
Story,2020-10-28,0
Story,2020-10-29,0
Story,2020-10-30,0
